,,ASIN,helium satış,ca fiyat,usd fiyat,kar,
11.09.2024,https://www.amazon.ca/dp/B00N34LMQ6,B00N34LMQ6,19,CA$34.99,$6.48,CA$7.08,50.00%
11.09.2024,https://www.amazon.ca/dp/B01JLPJM7G?th=1,B01JLPJM7G,28,$34.00,$7.58,CA$5.06,31.00%
11.09.2024,https://www.amazon.ca/dp/B07QJ5M7XX?th=1,B07QJ5M7XX,45,CA$36.88,$8.45,CA$6.09,35.00%
11.09.2024,https://www.amazon.ca/dp/B00937RN2O,B00937RN2O,15,CA$36.40,$9.00,CA$7.10,40.00%
11.09.2024,https://www.amazon.ca/dp/B000C406RG,B000C406RG,7,CA$35.00,$8.65,CA$6.15,35.00%
11.09.2024,https://www.amazon.ca/dp/B07QXMP9HF,B07QXMP9HF,16,CA$37.10,$10.00,CA$4.45,23.00%
11.09.2024,https://www.amazon.ca/dp/B07S3Q4PWP,B07S3Q4PWP,8,CA$60.00,$20.00,CA$11.96,36.00%
11.09.2024,https://www.amazon.ca/dp/B003RBGQH0,B003RBGQH0,13,CA$39.98,$10.28,CA$8.41,43.00%
11.09.2024,https://www.amazon.ca/dp/B087PVPCJH,B087PVPCJH,21,CA$37.99,$9.79,CA$6.25,33.00%
11.09.2024,https://www.amazon.ca/dp/B08CM3B52M,B08CM3B52M,13,CA$42.99,$10.79,CA$5.28,26.00%
11.09.2024,https://www.amazon.ca/dp/B07T3LQY65,B07T3LQY65,7,CA$35.00,$8.99,CA$7.59,42.00%
11.09.2024,https://www.amazon.ca/dp/B006MN4VF4,B006MN4VF4,19,CA$40.71,$9.32,CA$5.79,31.99%
11.09.2024,https://www.amazon.ca/dp/B0000AY4MT,B0000AY4MT,10,CA$38.00,$10.00,CA$5.82,30.00%
13.09.2024,https://www.amazon.ca/dp/B09SHGS97H,B09SHGS97H,11,CA$36.88,$10.00,CA$7.51,39.00%
13.09.2024,https://www.amazon.ca/dp/B00076RC0S,B00076RC0S,30,CA$36.68,$5.38,CA$10.62,83.00%
13.09.2024,https://www.amazon.ca/dp/B007XVYSDE,B007XVYSDE,12,CA$46.11,$12.39,CA$5.17,23.00%
13.09.2024,https://www.amazon.ca/dp/B079GZMCJS,B079GZMCJS,13,CA$35.99,$9.49,CA$7.53,41.00%
13.09.2024,https://www.amazon.ca/dp/B0B6CQK4Y2?th=1,B0B6CQK4Y2,11,CA$39.00,$10.00,CA$7.37,38.00%
13.09.2024,https://www.amazon.ca/dp/B0108D1AA2?th=1,B0108D1AA2,25,CA$48.44,$12.79,CA$1.57,50.00%
